embedding_dim,hidden_dims,learning_rate,epochs,weight_decay,batch_size,rmse
30,"[128, 64, 32]",0.01,20,0.0001,1024,1.0539751260815506
30,"[128, 64, 32]",0.1,20,0.001,1024,0.9850485177846985
30,"[128, 64, 32]",0.1,20,0.0001,1024,1.126039025194503
30,"[62, 32]",0.001,50,0.001,1024,0.9547326022668374
30,"[62, 32]",0.001,50,0.0001,1024,0.9756794102884239
30,"[62, 32]",0.01,50,0.001,1024,0.9353839517379396
30,"[62, 32]",0.01,50,0.0001,1024,1.116650165369514
30,"[62, 32]",0.1,50,0.001,1024,0.998182761540009
30,"[62, 32]",0.1,50,0.0001,1024,0.9476245947171366
30,"[128, 64, 32]",0.001,50,0.001,1024,0.9981333178207661
30,"[128, 64, 32]",0.001,50,0.0001,1024,1.0248710551217968
30,"[128, 64, 32]",0.01,50,0.001,1024,0.9454566593434137
30,"[128, 64, 32]",0.01,50,0.0001,1024,1.1292864413391348
30,"[128, 64, 32]",0.1,50,0.001,1024,0.984757848494806
30,"[128, 64, 32]",0.1,50,0.0001,1024,1.1261287960158306
30,"[62, 32]",0.001,100,0.001,1024,1.105031658340499
30,"[62, 32]",0.001,100,0.0001,1024,1.1231619867126474
30,"[62, 32]",0.01,100,0.001,1024,0.9474820548499562
30,"[62, 32]",0.01,100,0.0001,1024,1.1228784584145877
30,"[62, 32]",0.1,100,0.001,1024,0.9987790880037517
30,"[62, 32]",0.1,100,0.0001,1024,0.946500803717883
30,"[128, 64, 32]",0.001,100,0.001,1024,1.179651777724485
30,"[128, 64, 32]",0.001,100,0.0001,1024,1.2343964393781928
30,"[128, 64, 32]",0.01,100,0.001,1024,0.9633303986298981
30,"[128, 64, 32]",0.01,100,0.0001,1024,1.1490360179564514
30,"[128, 64, 32]",0.1,100,0.001,1024,0.986645879644649
30,"[128, 64, 32]",0.1,100,0.0001,1024,1.1211830661829976
