embedding_dim,hidden_dim,num_layers,learning_rate,batch_size,epochs,weight_decay,rmse
30,50,1,0.001,512,40,0.0001,0.9447830546083666
30,50,1,0.001,512,40,0.0,0.982232138056015
30,50,2,0.001,512,40,0.0001,0.9412922137193006
30,50,2,0.001,512,40,0.0,1.0296387656550052
30,50,1,0.01,512,40,0.0001,1.0055399267083889
30,50,1,0.01,512,40,0.0,1.235238075320773
30,50,2,0.01,512,40,0.0001,1.008378099335806
30,50,2,0.01,512,40,0.0,1.1846438744355499
30,100,1,0.001,512,40,0.0001,0.9480904360501743
30,100,1,0.001,512,40,0.0,0.9870284813846167
30,100,2,0.001,512,40,0.0001,0.9447288603061684
30,100,2,0.001,512,40,0.0,1.0296702567293465
30,100,1,0.01,512,40,0.0001,0.9860371377597669
30,100,1,0.01,512,40,0.0,1.2462521156438473
30,100,2,0.01,512,40,0.0001,1.0090748768859898
30,100,2,0.01,512,40,0.0,1.1819808596240888
30,50,1,0.001,512,80,0.0001,0.9629192850981606
30,50,1,0.001,512,80,0.0,1.0907795487781171
30,50,2,0.001,512,80,0.0001,0.9962116844821521
30,50,2,0.001,512,80,0.0,1.150334355220011
30,50,1,0.01,512,80,0.0001,1.0838745611429894
30,50,1,0.01,512,80,0.0,1.2728379131040106
30,50,2,0.01,512,80,0.0001,1.088237933017703
30,50,2,0.01,512,80,0.0,1.2083993214094877
30,100,1,0.001,512,80,0.0001,0.9385200037910056
30,100,1,0.001,512,80,0.0,1.1374073368099493
30,100,2,0.001,512,80,0.0001,0.9750670923477357
30,100,2,0.001,512,80,0.0,1.1793778373065533
30,100,1,0.01,512,80,0.0001,1.0722183745210312
30,100,1,0.01,512,80,0.0,1.2679137739202215
30,100,2,0.01,512,80,0.0001,1.072131817360483
30,100,2,0.01,512,80,0.0,1.184961919373872
30,50,1,0.001,512,160,0.0001,1.075058709249183
30,50,1,0.001,512,160,0.0,1.2721076059050929
30,50,2,0.001,512,160,0.0001,1.18632132610223
30,50,2,0.001,512,160,0.0,1.323702506203068
30,50,1,0.01,512,160,0.0001,1.1124151776155908
30,50,1,0.01,512,160,0.0,1.2938312062748005
30,50,2,0.01,512,160,0.0001,1.109400520568445
30,50,2,0.01,512,160,0.0,1.2187854077013045
30,100,1,0.001,512,160,0.0001,1.0229966473566419
30,100,1,0.001,512,160,0.0,1.3112995925267341
30,100,2,0.001,512,160,0.0001,1.1150941242809322
30,100,2,0.001,512,160,0.0,1.3704855675840282
30,100,1,0.01,512,160,0.0001,1.0943658457339949
30,100,1,0.01,512,160,0.0,1.2747832132678356
30,100,2,0.01,512,160,0.0001,1.1030646288726562
30,100,2,0.01,512,160,0.0,1.1736945712618325
50,50,1,0.001,512,40,0.0001,0.9471051266958919
50,50,1,0.001,512,40,0.0,1.030245609721193
50,50,2,0.001,512,40,0.0001,0.9648157648514539
